# path	qualname	loc	reason
src/openminion/daemon.py	run_server	146	current over-threshold method baseline; ratchet downward via LCPA/HRDS precision lanes
src/openminion/modules/brain/adapters/context/bridges/session.py	BridgeSessionClient._to_session_slice	150	current over-threshold method baseline; ratchet downward via LCPA/HRDS precision lanes
src/openminion/modules/brain/adapters/llm/local.py	LocalLLMAdapter.call_structured	215	current over-threshold method baseline; ratchet downward via LCPA/HRDS precision lanes
src/openminion/modules/brain/adapters/llm/normalize.py	_normalize_tool_command_payload	129	current over-threshold method baseline; ratchet downward via LCPA/HRDS precision lanes
src/openminion/modules/brain/adapters/llm/request.py	_messages_from_context	121	current over-threshold method baseline; ratchet downward via LCPA/HRDS precision lanes
src/openminion/modules/brain/adapters/llm/runtime.py	_extract_structured_output	150	current over-threshold method baseline; ratchet downward via LCPA/HRDS precision lanes
src/openminion/modules/brain/adapters/tool/runtime.py	ToolAdapter._execute_openminion_runtime_tool	102	current over-threshold method baseline; ratchet downward via LCPA/HRDS precision lanes
src/openminion/modules/brain/adapters/tool/runtime.py	ToolAdapter.execute	357	current over-threshold method baseline; ratchet downward via LCPA/HRDS precision lanes
src/openminion/modules/brain/bootstrap/budget.py	trim_decide_context_to_budget	162	current over-threshold method baseline; ratchet downward via LCPA/HRDS precision lanes
src/openminion/modules/brain/bootstrap/skill/pipeline.py	resolve_skill_pipeline	248	concurrent entry-selection growth; ratchet downward in its owning skill lane
src/openminion/modules/brain/bootstrap/skill/selection.py	_select_skills_with_llm	138	current over-threshold method baseline; ratchet downward via LCPA/HRDS precision lanes
src/openminion/modules/brain/config.py	RunnerOptions.__post_init__	134	current over-threshold method baseline; ratchet downward via LCPA/HRDS precision lanes
src/openminion/modules/brain/loop/adaptive/finalization.py	ActLoopFinalizationMixin._finalize_success	293	current over-threshold method baseline; ratchet downward via LCPA/HRDS precision lanes
src/openminion/modules/brain/loop/adaptive/finalization.py	ActLoopFinalizationMixin._result_from_outcome	290	current over-threshold method baseline; ratchet downward via LCPA/HRDS precision lanes
src/openminion/modules/brain/loop/adaptive/modes.py	ActLoopMode.execute	257	current over-threshold method baseline; ratchet downward via LCPA/HRDS precision lanes
src/openminion/modules/brain/loop/adaptive/seeded.py	ActLoopSeededMixin._execute_seeded_commands	109	current over-threshold method baseline; ratchet downward via LCPA/HRDS precision lanes
